Horario del profesor 
Profesor 12
 
Hora/Dia,Lunes,Martes,Miercoles,Jueves,Viernes
7-8,,,,,PE 1D,
8-9,,,,,,
9-10,,,,,,
10-11,,,,,,
11-12,,,,,,
12-13,MI 7A,PE 1D,,,,
13-14,PE 1D,PE 1D,,,,
14-15,PE 1D,,,,,
15-16,,,,,,
16-17,,MI 7B,,,,
17-18,,MI 7B,MI 7B,,,
18-19,,,,,,
19-20,MI 7B,MI 7A,MI 7A,,,
20-21,MI 7B,MI 7A,MI 7A,,,

Hora/Dia,Lunes,Martes,Miercoles,Jueves,Viernes
7-8,,,,,0,
8-9,,,,,,
9-10,,,,,,
10-11,,,,,,
11-12,,,,,,
12-13,1,1,,,,
13-14,1,1,,,,
14-15,1,,,,,
15-16,,,,,,
16-17,,1,,,,
17-18,,1,1,,,
18-19,,,,,,
19-20,1,1,1,,,
20-21,1,1,1,,,
PE:0,MI:1,MI:1,
