Horario del grupo 1D
 
Hora/Dia,Lunes,Martes,Miercoles,Jueves,Viernes
7-8,APE,AL,AL,AL,PE,
8-9,APE,,AL,,I1,
9-10,I1,I1,I1,I1,,
10-11,I1,I1,I1,I1,APE,
11-12,CCS,CCS,APE,APE,TGTI1,
12-13,,PE,VS,,,
13-14,PE,PE,CCS,TGTI1,AL,
14-15,PE,,CCS,CCS,AL,
15-16,VS,FCS,FCS,,,
16-17,FCS,,FCS,VS,FCS,
17-18,,,,,,
18-19,,,,,,
19-20,,,,,,
20-21,,,,,,
