Horario del salon 6
 
Hora/Dia,Lunes,Martes,Miercoles,Jueves,Viernes
7-8,PE-1A,PE-1A,PE-1A,,PE-1A,
8-9,,,,,,
9-10,,I1-1D,,,,
10-11,,I1-1D,,,,
11-12,,,APE-1D,PE-1A,,
12-13,,PE-1D,VS-1D,,,
13-14,LTS-7B,PE-1D,FCS-1A,,AL-1D,
14-15,LTS-7B,,,,AL-1D,
15-16,VS-1D,FCS-1D,FCS-1D,,,
16-17,FCS-1D,,FCS-1D,VS-1D,FCS-1D,
17-18,,STFC-4C,,,,
18-19,,STFC-4C,,,,
19-20,,I4-4B,,,,
20-21,,,,,,
