Horario del profesor 
Profesor 10
 
Hora/Dia,Lunes,Martes,Miercoles,Jueves,Viernes
7-8,PE 1C,PE 1C,PE 1B,PE 1B,,
8-9,PE 1C,PE 1C,PE 1B,,,
9-10,,,,,,
10-11,,,,,,
11-12,PE 1B,PE 1B,PE 1C,,,
12-13,,,,,,
13-14,,,,,,
14-15,,,,,,
15-16,,,,,,
16-17,,,,,,
17-18,,,,,,
18-19,,,,,,
19-20,,,,,,
20-21,,,,,,

Hora/Dia,Lunes,Martes,Miercoles,Jueves,Viernes
7-8,1,1,1,0,,
8-9,1,1,1,,,
9-10,,,,,,
10-11,,,,,,
11-12,1,1,1,,,
12-13,,,,,,
13-14,,,,,,
14-15,,,,,,
15-16,,,,,,
16-17,,,,,,
17-18,,,,,,
18-19,,,,,,
19-20,,,,,,
20-21,,,,,,
PE:0,PE:0,
