Clave,Grupo,Curso,Profesor,Lunes,Martes,Miercoles,Jueves,Viernes,L-Sa,M-Sa,Mi-Sa,Ju-Sa,Vi-Sa,L-rho,M-rho,Mi-rho,Ju-rho,Vi-rho,L-phi,M-phi,Mi-phi,Ju-Phi,Vi-Phi
CI,7B,COMERCIO INTERNACIONAL,Profesor 9,-,-,12--14,12--13,13--15,-,-,S6,S6,S7,0.0,0.0,0.833,0.833,1.0,0.0,0.0,1,1,2,
GDE,9A,GESTION Y DIRECCION DE EMPRESAS,Profesor 9,-,-,14--15,13--15,15--17,-,-,S3,S3,S3,0.0,0.0,0.829,0.829,0.829,0.0,0.0,1,1,1,
PE,1B,PROBABILIDAD Y ESTADISTICA,Profesor 10,11--12,11--12,7--9,7--8,-,LL,LL,LL,LL,-,1.0,1.0,1.0,1.0,0.0,1,1,1,1,0.0,
PE,1C,PROBABILIDAD Y ESTADISTICA,Profesor 10,7--9,7--9,11--12,-,-,S9,S9,S9,-,-,0.85,0.85,0.85,0.0,0.0,1,1,1,0.0,0.0,
VS,1B,VALORES DEL SER,Profesor 11,-,13--15,-,-,14--15,-,S9,-,-,S6,0.0,0.75,0.0,0.0,0.625,0.0,4,0.0,0.0,1,
VS,1D,VALORES DEL SER,Profesor 11,15--16,-,12--13,16--17,-,S15,-,S15,S15,-,0.833,0.0,0.833,0.833,0.0,1,0.0,1,1,0.0,
MCO,4A,METODOS CUANTITATIVOS DE LA OPTIMIZACION,Profesor 11,16--18,-,15--17,-,12--14,S10,-,S9,-,S10,1.167,0.0,0.875,0.0,1.167,2,0.0,1,0.0,2,
MCO,4B,METODOS CUANTITATIVOS DE LA OPTIMIZACION,Profesor 11,-,15--17,13--15,14--16,-,-,S4,S4,S4,-,0.0,0.857,0.857,0.857,0.0,0.0,1,1,1,0.0,
MCO,4C,METODOS CUANTITATIVOS DE LA OPTIMIZACION,Profesor 11,12--14,-,-,12--14,16--18,S6,-,-,S4,S4,0.688,0.0,0.0,0.943,0.943,4,0.0,0.0,1,1,
PE,1D,PROBABILIDAD Y ESTADISTICA,Profesor 12,13--15,12--14,-,-,7--8,S4,S15,-,-,S4,0.714,0.833,0.0,0.0,0.714,1,2,0.0,0.0,1,
MI,7A,METODOLOGIA DE LA INVESTIACION,Profesor 12,12--13,19--21,19--21,-,-,S7,S6,S7,-,-,1.025,0.854,1.025,0.0,0.0,2,1,2,0.0,0.0,
MI,7B,METODOLOGIA DE LA INVESTIACION,Profesor 12,19--21,16--18,17--18,-,-,S6,S7,S6,-,-,0.833,1.0,0.833,0.0,0.0,1,2,1,0.0,0.0,
APE,1A,ADMINISTRACION Y PRINCIPIOS DE ECONOMIA,Profesor 13,-,13--14,8--9,7--8,11--13,-,S6,S7,S7,S7,0.0,0.625,0.75,0.75,0.75,0.0,3,2,2,2,
APE,1B,ADMINISTRACION Y PRINCIPIOS DE ECONOMIA,Profesor 13,-,7--9,-,12--14,9--10,-,S7,-,S7,S6,0.0,0.75,0.0,0.75,0.625,0.0,3,0.0,3,1,
APE,1C,ADMINISTRACION Y PRINCIPIOS DE ECONOMIA,Profesor 13,11--12,11--12,7--8,8--9,7--8,S9,S9,S9,S9,S9,0.85,0.85,0.85,0.85,0.85,1,1,1,1,1,
APE,1D,ADMINISTRACION Y PRINCIPIOS DE ECONOMIA,Profesor 13,7--9,-,11--12,11--12,10--11,S10,-,S15,S6,S6,0.833,0.0,0.833,0.521,0.521,2,0.0,1,3,3,
CCS,1A,CALIDAD EN LA CADENA DE SUMINISTRO,Profesor 14,12--13,15--17,12--13,12--13,-,S4,LC,LC,LC,-,0.857,1.0,1.0,1.0,0.0,100,1,1,1,0.0,
CCS,1D,CALIDAD EN LA CADENA DE SUMINISTRO,Profesor 14,11--12,11--12,13--15,14--15,-,LC,LC,LC,S9,-,0.833,0.833,0.833,0.625,0.0,1,1,1,100,0.0,
HP,4A,HABILIDADES DEL PENSAMIENTO,Profesor 14,-,13--14,17--18,18--19,-,-,S7,S9,S7,-,0.0,0.875,0.875,0.875,0.0,0.0,1,4,1,0.0,
HP,4C,HABILIDADES DEL PENSAMIENTO,Profesor 14,18--19,-,16--17,17--18,-,S4,-,S10,S9,-,0.943,0.0,1.1,0.825,0.0,1,0.0,2,4,0.0,
LTS,7A,LOGISTICA Y TRANSPORTE SUSTENTABLE,Profesor 14,16--18,17--18,15--16,13--14,-,S7,S6,S6,S6,-,1.025,0.854,0.854,0.854,0.0,2,1,1,1,0.0,
LTS,7B,LOGISTICA Y TRANSPORTE SUSTENTABLE,Profesor 14,13--15,14--15,-,15--17,-,S15,S7,-,S6,-,1.333,1.0,0.0,0.833,0.0,5,2,0.0,1,0.0,
TGTI1,1C,TUTORIA GRUPAL E INDIVIDUAL,Profesor 15,14--15,-,-,16--17,-,S9,-,-,S9,-,0.85,0.0,0.0,0.85,0.0,1,0.0,0.0,1,0.0,
TGTI1,1D,TUTORIA GRUPAL E INDIVIDUAL,Profesor 15,-,-,-,13--14,11--12,-,-,-,LC,LC,0.0,0.0,0.0,0.833,0.833,0.0,0.0,0.0,1,1,
STFC,4A,SISTEMAS DE TRANSPORTACION FERROVIARIO Y CARRETERO,Profesor 15,18--19,15--16,18--19,-,14--16,S9,S9,S9,-,LL,0.875,0.875,0.875,0.0,1.167,1,1,1,0.0,100,
