Horario del salon 1
 
Hora/Dia,Lunes,Martes,Miercoles,Jueves,Viernes
7-8,,,,,PE-1D,
8-9,,,,,,
9-10,,,,,,
10-11,,,,,,
11-12,,,,,,
12-13,CCS-1A,STFC-4B,CCS-1C,MCO-4C,,
13-14,PE-1D,TIAT-4B,MCO-4B,MCO-4C,,
14-15,PE-1D,TIAT-4B,MCO-4B,MCO-4B,HP-4B,
15-16,,MCO-4B,TIAT-4B,MCO-4B,,
16-17,STFC-4C,MCO-4B,TIAT-4B,,MCO-4C,
17-18,HP-4B,,HP-4B,STFC-4B,MCO-4C,
18-19,HP-4C,,,STFC-4B,,
19-20,,,,,,
20-21,,,,,,
