Horario del grupo 4C
 
Hora/Dia,Lunes,Martes,Miercoles,Jueves,Viernes
7-8,,,,,,
8-9,,,,,,
9-10,,,,,,
10-11,,,,,,
11-12,,,,,,
12-13,MCO:Salon 1,TIAT:Salon 8,TIAT:Salon 8,STFC:Salon 3,LP:Salon 8,
13-14,MCO:Salon 1,TIAT:Salon 8,TIAT:Salon 8,,STFC:Salon 5,
14-15,LP:Salon 8,STFC:Salon 2,,,,
15-16,TIAT:Salon 8,STFC:Salon 2,,,,
16-17,TIAT:Salon 8,MCO:Salon 1,,LP:Salon 8,MCO:Salon 1,
17-18,STFC:Salon 6,MCO:Salon 1,HP:Salon 5,TGTI4:Salon 2,MCO:Salon 1,
18-19,HP:Salon 2,LP:Salon 8,LP:Salon 8,HP:Salon 1,TGTI4:Salon 2,
19-20,I4:Salon 0,I4:Salon 0,I4:Salon 0,I4:Salon 0,I4:Salon 0,
20-21,,,,,,
