Horario del profesor 
Profesor 9
 
Hora/Dia,Lunes,Martes,Miercoles,Jueves,Viernes
7-8,,,,,,
8-9,,,,,,
9-10,,,,,,
10-11,,,,,,
11-12,,,,,,
12-13,,,CI 7B,CI 7B,,
13-14,,,CI 7B,GDE 9A,CI 7B,
14-15,,,GDE 9A,GDE 9A,CI 7B,
15-16,,,,,GDE 9A,
16-17,,,CI 7A,CI 7A,GDE 9A,
17-18,,,CI 7A,CI 7A,CI 7A,
18-19,,,,,,
19-20,,,,,,
20-21,,,,,,

Hora/Dia,Lunes,Martes,Miercoles,Jueves,Viernes
7-8,,,,,,
8-9,,,,,,
9-10,,,,,,
10-11,,,,,,
11-12,,,,,,
12-13,,,1,1,,
13-14,,,1,1,1,
14-15,,,1,1,1,
15-16,,,,,1,
16-17,,,1,1,1,
17-18,,,1,1,1,
18-19,,,,,,
19-20,,,,,,
20-21,,,,,,
CI:1,CI:1,GDE:0,
