Horario del grupo 4A
 
Hora/Dia,Lunes,Martes,Miercoles,Jueves,Viernes
7-8,,,,,,
8-9,,,,,,
9-10,,,,,,
10-11,,,,,,
11-12,,,,,,
12-13,TIAT:Salon 2,MCO:Salon 6,STFC:Salon 2,MCO:Salon 0,STFC:Salon 7,
13-14,TIAT:Salon 2,MCO:Salon 6,STFC:Salon 2,MCO:Salon 0,STFC:Salon 7,
14-15,,LP:Salon 8,MCO:Salon 2,HP:Salon 4,,
15-16,,,MCO:Salon 2,TGTI4:Salon 4,,
16-17,,TGTI4:Salon 0,TIAT:Salon 2,,TIAT:Salon 2,
17-18,STFC:Salon 2,,TIAT:Salon 2,LP:Salon 8,TIAT:Salon 2,
18-19,LP:Salon 8,HP:Salon 4,HP:Salon 4,LP:Salon 8,LP:Salon 8,
19-20,I4:Salon 2,I4:Salon 2,I4:Salon 2,I4:Salon 2,I4:Salon 2,
20-21,,,,,,
