Horario del grupo 1A
 
Hora/Dia,Lunes,Martes,Miercoles,Jueves,Viernes
7-8,PE,PE,PE,APE,PE,
8-9,,AL,APE,,I1,
9-10,I1,I1,I1,I1,AL,
10-11,I1,I1,I1,I1,AL,
11-12,TGTI1,TGTI1,,PE,APE,
12-13,CCS,VS,CCS,CCS,APE,
13-14,,APE,FCS,,,
14-15,VS,FCS,,AL,FCS,
15-16,FCS,CCS,AL,AL,VS,
16-17,,CCS,,FCS,,
17-18,,,,,,
18-19,,,,,,
19-20,,,,,,
20-21,,,,,,
