Horario del salon 0
 
Hora/Dia,Lunes,Martes,Miercoles,Jueves,Viernes
7-8,DFI-9A,,,,DFI-9A,
8-9,,,,,,
9-10,FEP-9A,TU-9A,FEP-9A,TU-9A,TU-9A,
10-11,FEP-9A,TU-9A,FEP-9A,TU-9A,TU-9A,
11-12,I9-9A,I9-9A,I9-9A,I9-9A,MTL-9A,
12-13,MTL-9A,SACD-9A,SACD-9A,I9-9A,MTL-9A,
13-14,MTL-9A,DFI-9A,SACD-9A,GDE-9A,MTL-9A,
14-15,MTL-9A,FEP-9A,GDE-9A,GDE-9A,TGTI9-9A,
15-16,TU-9A,FEP-9A,DFI-9A,DFI-9A,GDE-9A,
16-17,SACD-9A,TGTI9-9A,DFI-9A,SACD-9A,GDE-9A,
17-18,,TGTI4-4B,,,,
18-19,,,TGTI4-4B,,,
19-20,I4-4C,I4-4C,I4-4C,I4-4C,I4-4C,
20-21,,,,,,
