Horario del profesor 
Profesor 7
 
Hora/Dia,Lunes,Martes,Miercoles,Jueves,Viernes
7-8,,,,,,
8-9,,,,,,
9-10,,,,,,
10-11,,,,,,
11-12,,,,,,
12-13,TIAT 4B,SACD 9A,SACD 9A,TIAT 4A,,
13-14,TIAT 4B,TIAT 4B,SACD 9A,TIAT 4A,,
14-15,TIAT 4A,TIAT 4B,,TIAT 4C,,
15-16,TIAT 4A,TIAT 4C,TIAT 4B,TIAT 4C,,
16-17,SACD 9A,TIAT 4C,TIAT 4B,SACD 9A,,
17-18,,TIAT 4A,TIAT 4C,,,
18-19,,TIAT 4A,TIAT 4C,,,
19-20,,,,,,
20-21,,,,,,

Hora/Dia,Lunes,Martes,Miercoles,Jueves,Viernes
7-8,,,,,,
8-9,,,,,,
9-10,,,,,,
10-11,,,,,,
11-12,,,,,,
12-13,1,1,1,1,,
13-14,1,1,1,1,,
14-15,1,1,,1,,
15-16,1,1,1,1,,
16-17,1,1,1,1,,
17-18,,1,1,,,
18-19,,1,1,,,
19-20,,,,,,
20-21,,,,,,
TIAT:2,TIAT:2,TIAT:2,SACD:0,
