Horario del salon 3
 
Hora/Dia,Lunes,Martes,Miercoles,Jueves,Viernes
7-8,AL-1B,AL-1D,AL-1D,AL-1D,,
8-9,AL-1B,AL-1A,AL-1D,AL-1B,I1-1B,
9-10,I1-1B,I1-1A,I1-1B,I1-1B,APE-1B,
10-11,I1-1B,I1-1A,I1-1B,I1-1B,APE-1D,
11-12,TGTI1-1A,TGTI1-1A,FCS-1B,APE-1D,,
12-13,MCO-4C,VS-1A,CI-7B,CI-7B,STFC-4C,
13-14,MCO-4C,APE-1A,CI-7B,LTS-7A,FCS-1B,
14-15,FCS-1B,FCS-1A,TGTI7-7A,IT-7B,VS-1B,
15-16,TGTI7-7B,IT-7A,LTS-7A,LTS-7B,SCOL-7A,
16-17,IT-7B,IT-7A,IT-7B,LTS-7B,TGTI7-7A,
17-18,IT-7B,LTS-7A,MI-7B,TGTI7-7B,CI-7A,
18-19,I7-7B,I7-7A,I7-7B,I7-7B,I7-7A,
19-20,MI-7B,MI-7A,SCOL-7B,SCOL-7B,,
20-21,MI-7B,MI-7A,SCOL-7B,SCOL-7B,,
