Horario del salon 8
 
Hora/Dia,Lunes,Martes,Miercoles,Jueves,Viernes
7-8,,,PE-1B,PE-1B,,
8-9,,,PE-1B,,,
9-10,,,,,,
10-11,,,,,,
11-12,PE-1B,PE-1B,,,,
12-13,LP-4A,LP-4C,,,LP-4B,
13-14,,LP-4C,,LP-4B,LP-4B,
14-15,,LP-4A,,TIAT-4C,STFC-4A,
15-16,LP-4C,TIAT-4C,LP-4C,TIAT-4C,STFC-4A,
16-17,,TIAT-4C,,LP-4A,LP-4A,
17-18,,,TIAT-4C,LP-4A,,
18-19,LP-4B,LP-4B,TIAT-4C,,LP-4C,
19-20,,,,,,
20-21,,,,,,
