Horario del grupo 7B
 
Hora/Dia,Lunes,Martes,Miercoles,Jueves,Viernes
7-8,,,,,,
8-9,,,,,,
9-10,,,,,,
10-11,,,,,,
11-12,,,,,,
12-13,,,CI:Salon 3,CI:Salon 3,,
13-14,LTS:Salon 6,,CI:Salon 3,,CI:Salon 4,
14-15,LTS:Salon 6,LTS:Salon 4,,IT:Salon 3,CI:Salon 4,
15-16,TGTI7:Salon 3,,,LTS:Salon 3,,
16-17,IT:Salon 3,MI:Salon 4,IT:Salon 3,LTS:Salon 3,IT:Salon 4,
17-18,IT:Salon 3,MI:Salon 4,MI:Salon 3,TGTI7:Salon 3,,
18-19,I7:Salon 3,I7:Salon 4,I7:Salon 3,I7:Salon 3,I7:Salon 4,
19-20,MI:Salon 3,SCOL:Salon 4,SCOL:Salon 3,SCOL:Salon 3,,
20-21,MI:Salon 3,,SCOL:Salon 3,SCOL:Salon 3,,
