Horario del grupo 4B
 
Hora/Dia,Lunes,Martes,Miercoles,Jueves,Viernes
7-8,,,,,,
8-9,,,,,,
9-10,,,,,,
10-11,,,,,,
11-12,,,,,,
12-13,TIAT:Salon 6,HP:Salon 1,LP:Salon 1,TIAT:Salon 1,,
13-14,TIAT:Salon 6,,,TIAT:Salon 1,MCO:Salon 1,
14-15,,,HP:Salon 6,TGTI4:Salon 2,MCO:Salon 1,
15-16,MCO:Salon 1,LP:Salon 8,,HP:Salon 1,TGTI4:Salon 2,
16-17,MCO:Salon 1,TIAT:Salon 5,MCO:Salon 1,STFC:Salon 1,LP:Salon 8,
17-18,LP:Salon 8,TIAT:Salon 5,MCO:Salon 1,,LP:Salon 8,
18-19,STFC:Salon 1,STFC:Salon 1,STFC:Salon 1,,STFC:Salon 1,
19-20,I4:Salon 6,I4:Salon 4,I4:Salon 4,I4:Salon 4,I4:Salon 4,
20-21,,,,,,
