Horario del profesor 
Profe Inglés 2
 
Hora/Dia,Lunes,Martes,Miercoles,Jueves,Viernes
7-8,,,,,,
8-9,,,,,I1 1B,
9-10,I1 1B,I1 1B,I1 1B,I1 1B,,
10-11,I1 1B,I1 1B,I1 1B,I1 1B,,
11-12,,,,,,
12-13,,,,,,
13-14,,,,,,
14-15,,,,,,
15-16,,,,,,
16-17,,,,,,
17-18,,,,,,
18-19,,,,,,
19-20,,,,,,
20-21,,,,,,

Hora/Dia,Lunes,Martes,Miercoles,Jueves,Viernes
7-8,,,,,,
8-9,,,,,1,
9-10,1,1,1,1,,
10-11,1,1,1,1,,
11-12,,,,,,
12-13,,,,,,
13-14,,,,,,
14-15,,,,,,
15-16,,,,,,
16-17,,,,,,
17-18,,,,,,
18-19,,,,,,
19-20,,,,,,
20-21,,,,,,
I1:0,
