Horario del grupo 1D
 
Hora/Dia,Lunes,Martes,Miercoles,Jueves,Viernes
7-8,,AL:Salon 3,AL:Salon 2,APE:Salon 3,,
8-9,,AL:Salon 3,,AL:Salon 3,I1:Salon 6,
9-10,I1:Salon 6,I1:Salon 4,I1:Salon 4,I1:Salon 4,CCS:Salon 7,
10-11,I1:Salon 6,I1:Salon 4,I1:Salon 4,I1:Salon 4,TGTI1:Salon 7,
11-12,APE:Salon 3,TGTI1:Salon 3,VS:Salon 3,VS:Salon 5,APE:Salon 6,
12-13,APE:Salon 3,,FCS:Salon 6,VS:Salon 5,APE:Salon 6,
13-14,,CCS:Salon 7,FCS:Salon 6,PE:Salon 8,FCS:Salon 6,
14-15,CCS:Salon 7,CCS:Salon 7,PE:Salon 1,PE:Salon 8,PE:Salon 6,
15-16,,FCS:Salon 6,PE:Salon 1,,AL:Salon 6,
16-17,,FCS:Salon 6,,CCS:Salon 7,AL:Salon 6,
17-18,,,,,,
18-19,,,,,,
19-20,,,,,,
20-21,,,,,,
