Horario del grupo 4B
 
Hora/Dia,Lunes,Martes,Miercoles,Jueves,Viernes
7-8,,,,,,
8-9,,,,,,
9-10,,,,,,
10-11,,,,,,
11-12,,,,,,
12-13,TIAT:Salon 5,STFC:Salon 1,,,LP:Salon 8,
13-14,TIAT:Salon 5,TIAT:Salon 1,MCO:Salon 1,LP:Salon 8,LP:Salon 8,
14-15,,TIAT:Salon 1,MCO:Salon 1,MCO:Salon 1,HP:Salon 1,
15-16,,MCO:Salon 1,TIAT:Salon 1,MCO:Salon 1,,
16-17,,MCO:Salon 1,TIAT:Salon 1,,,
17-18,HP:Salon 1,TGTI4:Salon 0,HP:Salon 1,STFC:Salon 1,STFC:Salon 5,
18-19,LP:Salon 8,LP:Salon 8,TGTI4:Salon 0,STFC:Salon 1,STFC:Salon 5,
19-20,I4:Salon 4,I4:Salon 6,I4:Salon 5,I4:Salon 4,I4:Salon 4,
20-21,,,,,,
