Horario del profesor 
Profesor 16
 
Hora/Dia,Lunes,Martes,Miercoles,Jueves,Viernes
7-8,,,,,,
8-9,,,,,,
9-10,,,,,,
10-11,,,,,VS 1C,
11-12,,,,,MTL 9A,
12-13,MTL 9A,,,,MTL 9A,
13-14,MTL 9A,,,,MTL 9A,
14-15,MTL 9A,,,,HP 4B,
15-16,VS 1C,,,,,
16-17,VS 1C,,,,,
17-18,HP 4B,,HP 4B,,,
18-19,,,,,,
19-20,,,,,,
20-21,,,,,,

Hora/Dia,Lunes,Martes,Miercoles,Jueves,Viernes
7-8,,,,,,
8-9,,,,,,
9-10,,,,,,
10-11,,,,,1,
11-12,,,,,1,
12-13,1,,,,1,
13-14,1,,,,1,
14-15,1,,,,1,
15-16,1,,,,,
16-17,1,,,,,
17-18,1,,1,,,
18-19,,,,,,
19-20,,,,,,
20-21,,,,,,
VS:1,HP:3,MTL:0,
