Horario del salon 4
 
Hora/Dia,Lunes,Martes,Miercoles,Jueves,Viernes
7-8,,APE-1B,,APE-1A,,
8-9,,APE-1B,APE-1A,,I1-1D,
9-10,I1-1D,I1-1B,I1-1D,I1-1D,AL-1A,
10-11,I1-1D,I1-1B,I1-1D,I1-1D,AL-1A,
11-12,,,,,APE-1A,
12-13,MI-7A,,SCOL-7A,APE-1B,APE-1A,
13-14,IT-7A,HP-4A,SCOL-7A,APE-1B,CI-7B,
14-15,SCOL-7A,LTS-7B,,FCS-1B,CI-7B,
15-16,SCOL-7A,,AL-1A,FCS-1B,VS-1A,
16-17,LTS-7A,MI-7B,CI-7A,CI-7A,IT-7B,
17-18,LTS-7A,MI-7B,CI-7A,CI-7A,,
18-19,I7-7A,I7-7B,I7-7A,HP-4A,I7-7B,
19-20,I4-4B,SCOL-7B,MI-7A,I4-4B,I4-4B,
20-21,,,MI-7A,,,
