Horario del grupo 9A
 
Hora/Dia,Lunes,Martes,Miercoles,Jueves,Viernes
7-8,DFI,,,,DFI,
8-9,,,,,,
9-10,FEP,TU,FEP,TU,TU,
10-11,FEP,TU,FEP,TU,TU,
11-12,I9,I9,I9,I9,MTL,
12-13,MTL,SACD,SACD,I9,MTL,
13-14,MTL,DFI,SACD,GDE,MTL,
14-15,MTL,FEP,GDE,GDE,TGTI9,
15-16,TU,FEP,DFI,DFI,GDE,
16-17,SACD,TGTI9,DFI,SACD,GDE,
17-18,,,,,,
18-19,,,,,,
19-20,,,,,,
20-21,,,,,,
