Horario del grupo 7B
 
Hora/Dia,Lunes,Martes,Miercoles,Jueves,Viernes
7-8,,,,,,
8-9,,,,,,
9-10,,,,,,
10-11,,,,,,
11-12,,,,,,
12-13,MI:Salon 4,MI:Salon 4,CI:Salon 4,,,
13-14,MI:Salon 4,MI:Salon 4,CI:Salon 4,LTS:Salon 4,IT:Salon 3,
14-15,IT:Salon 4,,,,IT:Salon 3,
15-16,IT:Salon 4,LTS:Salon 3,LTS:Salon 4,,CI:Salon 3,
16-17,LTS:Salon 4,TGTI7:Salon 3,,CI:Salon 4,TGTI7:Salon 3,
17-18,LTS:Salon 4,IT:Salon 3,MI:Salon 3,CI:Salon 4,,
18-19,I7:Salon 4,I7:Salon 3,I7:Salon 2,I7:Salon 4,I7:Salon 3,
19-20,SCOL:Salon 4,,,,SCOL:Salon 3,
20-21,,SCOL:Salon 3,,SCOL:Salon 3,SCOL:Salon 3,
