Horario del grupo 4A
 
Hora/Dia,Lunes,Martes,Miercoles,Jueves,Viernes
7-8,,,,,,
8-9,,,,,,
9-10,,,,,,
10-11,,,,,,
11-12,,,,,,
12-13,LP:Salon 8,,,TIAT:Salon 5,MCO:Salon 5,
13-14,,HP:Salon 4,,TIAT:Salon 5,MCO:Salon 5,
14-15,TIAT:Salon 7,LP:Salon 8,,,STFC:Salon 8,
15-16,TIAT:Salon 7,STFC:Salon 2,MCO:Salon 2,TGTI4:Salon 2,STFC:Salon 8,
16-17,MCO:Salon 5,,MCO:Salon 2,LP:Salon 8,LP:Salon 8,
17-18,MCO:Salon 5,TIAT:Salon 2,HP:Salon 2,LP:Salon 8,TGTI4:Salon 2,
18-19,STFC:Salon 2,TIAT:Salon 2,STFC:Salon 2,HP:Salon 4,,
19-20,I4:Salon 2,I4:Salon 2,I4:Salon 2,I4:Salon 2,I4:Salon 2,
20-21,,,,,,
