Horario del grupo 1A
 
Hora/Dia,Lunes,Martes,Miercoles,Jueves,Viernes
7-8,AL:Salon 3,PE:Salon 6,PE:Salon 6,AL:Salon 4,,
8-9,APE:Salon 3,PE:Salon 6,PE:Salon 6,APE:Salon 4,I1:Salon 3,
9-10,I1:Salon 3,I1:Salon 5,I1:Salon 5,I1:Salon 5,AL:Salon 4,
10-11,I1:Salon 3,I1:Salon 5,I1:Salon 5,I1:Salon 5,AL:Salon 4,
11-12,PE:Salon 6,CCS:Salon 7,APE:Salon 4,,TGTI1:Salon 3,
12-13,CCS:Salon 7,CCS:Salon 7,AL:Salon 5,FCS:Salon 6,VS:Salon 4,
13-14,,APE:Salon 5,AL:Salon 5,FCS:Salon 6,APE:Salon 4,
14-15,VS:Salon 6,,,VS:Salon 5,,
15-16,FCS:Salon 6,TGTI1:Salon 1,FCS:Salon 6,,,
16-17,FCS:Salon 6,,CCS:Salon 7,CCS:Salon 0,,
17-18,,,,,,
18-19,,,,,,
19-20,,,,,,
20-21,,,,,,
