Horario del profesor 
Profesor 17
 
Hora/Dia,Lunes,Martes,Miercoles,Jueves,Viernes
7-8,,,,,,
8-9,,,,,,
9-10,,,,,,
10-11,,,,,,
11-12,,,,,,
12-13,,,,,,
13-14,,,,,,
14-15,,,TGTI7 7A,,,
15-16,TGTI7 7B,,,,,
16-17,,,,,TGTI7 7A,
17-18,,,,TGTI7 7B,,
18-19,,,,,,
19-20,,,,,,
20-21,,,,,,

Hora/Dia,Lunes,Martes,Miercoles,Jueves,Viernes
7-8,,,,,,
8-9,,,,,,
9-10,,,,,,
10-11,,,,,,
11-12,,,,,,
12-13,,,,,,
13-14,,,,,,
14-15,,,1,,,
15-16,1,,,,,
16-17,,,,,1,
17-18,,,,1,,
18-19,,,,,,
19-20,,,,,,
20-21,,,,,,
TGTI7:0,TGTI7:0,
