Horario del grupo 1C
 
Hora/Dia,Lunes,Martes,Miercoles,Jueves,Viernes
7-8,PE,PE,APE,,APE,
8-9,PE,PE,,APE,I1,
9-10,I1,I1,I1,I1,CCS,
10-11,I1,I1,I1,I1,VS,
11-12,APE,APE,PE,FCS,AL,
12-13,FCS,,CCS,AL,AL,
13-14,FCS,CCS,AL,AL,,
14-15,TGTI1,,AL,CCS,,
15-16,VS,,,CCS,FCS,
16-17,VS,FCS,,TGTI1,,
17-18,,,,,,
18-19,,,,,,
19-20,,,,,,
20-21,,,,,,
