Horario del grupo 1A
 
Hora/Dia,Lunes,Martes,Miercoles,Jueves,Viernes
7-8,PE:Salon 6,PE:Salon 6,PE:Salon 6,APE:Salon 4,PE:Salon 6,
8-9,,AL:Salon 3,APE:Salon 4,,I1:Salon 5,
9-10,I1:Salon 5,I1:Salon 3,I1:Salon 5,I1:Salon 5,AL:Salon 4,
10-11,I1:Salon 5,I1:Salon 3,I1:Salon 5,I1:Salon 5,AL:Salon 4,
11-12,TGTI1:Salon 3,TGTI1:Salon 3,,PE:Salon 6,APE:Salon 4,
12-13,CCS:Salon 1,VS:Salon 3,CCS:Salon 7,CCS:Salon 7,APE:Salon 4,
13-14,,APE:Salon 3,FCS:Salon 6,,,
14-15,VS:Salon 5,FCS:Salon 3,,AL:Salon 5,FCS:Salon 5,
15-16,FCS:Salon 5,CCS:Salon 7,AL:Salon 4,AL:Salon 5,VS:Salon 4,
16-17,,CCS:Salon 7,,FCS:Salon 5,,
17-18,,,,,,
18-19,,,,,,
19-20,,,,,,
20-21,,,,,,
